,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Gr Liv Area,Full Bath,Bedroom AbvGr,Fireplaces,Garage Cars,SalePrice
0,31770,6,5,1960,1960,1656,1,3,2,2.0,215000
1,11622,5,6,1961,1961,896,1,2,0,1.0,105000
2,14267,6,6,1958,1958,1329,1,3,0,1.0,172000
3,11160,7,5,1968,1968,2110,2,3,2,2.0,244000
4,13830,5,5,1997,1998,1629,2,3,1,2.0,189900
5,9978,6,6,1998,1998,1604,2,3,1,2.0,195500
6,4920,8,5,2001,2001,1338,2,2,0,2.0,213500
7,5005,8,5,1992,1992,1280,2,2,0,2.0,191500
8,5389,8,5,1995,1996,1616,2,2,1,2.0,236500
9,7500,7,5,1999,1999,1804,2,3,1,2.0,189000
10,10000,6,5,1993,1994,1655,2,3,1,2.0,175900
11,7980,6,7,1992,2007,1187,2,3,0,2.0,185000
12,8402,6,5,1998,1998,1465,2,3,1,2.0,180400
13,10176,7,5,1990,1990,1341,1,2,1,2.0,171500
14,6820,8,5,1985,1985,1502,1,1,0,2.0,212000
15,53504,8,5,2003,2003,3279,3,4,1,3.0,538000
16,12134,8,7,1988,2005,1752,2,4,0,2.0,164000
17,11394,9,2,2010,2010,1856,1,1,1,3.0,394432
18,19138,4,5,1951,1951,864,1,2,0,2.0,141000
19,13175,6,6,1978,1988,2073,2,3,2,2.0,210000
20,11751,6,6,1977,1977,1844,2,3,1,2.0,190000
21,10625,7,6,1974,1974,1173,2,3,2,2.0,170000
22,7500,7,5,2000,2000,1674,2,3,0,2.0,216000
23,11241,6,7,1970,1970,1004,1,2,1,2.0,149000
24,12537,5,6,1971,2008,1078,1,3,1,2.0,149900
25,8450,5,6,1968,1968,1056,1,3,1,1.0,142000
26,8400,4,5,1970,1970,882,1,2,0,2.0,126000
27,10500,4,5,1971,1971,864,1,3,1,0.0,115000
28,5858,7,5,1999,1999,1337,2,2,1,2.0,184000
29,1680,6,5,1971,1971,987,1,2,0,1.0,96000
30,1680,5,5,1971,1971,1092,1,3,0,1.0,105500
31,1680,6,5,1971,1971,1092,1,3,0,1.0,88000
32,4043,6,5,1977,1977,1069,2,2,1,2.0,127500
33,2280,6,6,1975,1975,1456,2,3,1,2.0,149900
34,2280,7,6,1975,1975,836,1,2,0,1.0,120000
35,2280,6,5,1978,1978,1456,2,3,1,2.0,146000
36,12858,9,5,2009,2010,2334,2,3,1,3.0,376162
37,11478,8,5,2007,2008,1704,2,3,1,3.0,306000
38,10159,9,5,2009,2010,1940,2,3,1,3.0,395192
39,12883,8,5,2009,2010,1544,2,3,0,3.0,290941
40,12182,7,5,2005,2005,1541,2,3,1,2.0,220000
41,11520,9,5,2005,2005,1698,2,3,1,3.0,275000
42,14122,8,5,2005,2006,1822,2,3,1,3.0,259000
43,10171,7,5,2004,2004,1535,2,3,0,2.0,214000
44,12919,9,5,2009,2010,2364,2,2,2,3.0,611657
45,6371,7,5,2009,2010,1358,2,2,1,2.0,224000
46,14300,9,5,2003,2004,2696,2,3,2,3.0,500000
47,13650,8,5,2002,2002,2250,2,3,1,3.0,320000
48,7658,9,5,2005,2005,1752,2,2,1,2.0,319900
49,7132,8,5,2006,2006,1370,2,2,1,2.0,205000
50,2628,7,5,2003,2003,1626,2,2,0,2.0,175500
51,18494,6,5,2005,2005,1324,2,3,0,2.0,199500
52,3203,7,5,2006,2006,1145,2,2,0,2.0,160000
53,3182,8,5,2004,2005,1269,2,2,1,2.0,192000
54,13300,7,5,2004,2004,1374,2,3,1,2.0,184500
55,7851,6,5,2002,2002,1960,2,4,2,2.0,216500
56,8577,7,5,2004,2004,1733,2,3,1,2.0,185088
57,7750,7,5,2000,2000,1430,2,3,1,2.0,180000
58,9505,7,5,2001,2001,2035,2,3,1,2.0,222500
59,14774,9,5,1999,1999,2599,2,4,1,3.0,333168
60,17433,8,5,1998,1998,2475,2,4,1,3.0,355000
61,10593,7,5,1996,1996,1720,2,3,1,2.0,260400
62,12256,8,5,1994,1995,2622,2,3,2,2.0,325000
63,11764,8,7,1999,2007,2270,2,4,1,3.0,290000
64,16770,7,5,1998,1998,1839,2,4,0,2.0,221000
65,14720,8,5,1995,1996,3238,2,4,1,3.0,410000
66,8987,8,5,2005,2006,1595,2,2,1,3.0,221500
67,9215,7,5,2009,2010,1218,2,2,0,2.0,204500
68,8640,7,5,2009,2009,1547,2,3,0,2.0,215200
69,9000,8,5,2008,2008,1566,2,3,0,2.0,262500
70,12552,7,5,2004,2005,1947,2,3,1,2.0,254900
71,10440,6,5,2005,2005,1468,2,2,1,2.0,271500
72,10142,7,5,2004,2004,2084,2,4,0,2.0,233000
73,11920,7,5,2004,2004,1659,2,3,0,2.0,181000
74,8880,7,5,1994,2002,2110,2,3,2,2.0,205000
75,8012,6,5,1980,1980,923,2,2,1,1.0,143000
76,11218,6,5,1992,1992,1845,2,3,1,2.0,189000
77,7892,6,5,1979,1979,918,2,2,1,1.0,99500
