,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Gr Liv Area,Full Bath,Bedroom AbvGr,Fireplaces,Garage Cars,OQ2,GLA2,OQ_x_YB,OQ_/_LA,Neighborhood,House Style,Year Built_Dev_House Style,Overall Qual_Dev_Neighborhood
0,31770,6,5,1960,1960,1656,1,3,2,2.0,36,2742336,11760,0.00018885741265344664,NAmes,1Story,-0.5903338056504491,0.8575032199172544
1,11622,5,6,1961,1961,896,1,2,0,1.0,25,802816,9805,0.00043021855102392013,NAmes,1Story,-0.5511862999437251,-0.43020500524662325
2,14267,6,6,1958,1958,1329,1,3,0,1.0,36,1766241,11748,0.0004205509217074367,NAmes,1Story,-0.6686288170638971,0.8575032199172544
3,11160,7,5,1968,1968,2110,2,3,2,2.0,49,4452100,13776,0.0006272401433691756,NAmes,1Story,-0.2771537599966572,2.145211445081132
4,13830,5,5,1997,1998,1629,2,3,1,2.0,25,2653641,9985,0.00036153289949385393,Gilbert,2Story,0.5452076364043213,-2.101973808585187
5,9978,6,6,1998,1998,1604,2,3,1,2.0,36,2572816,11988,0.0006013229104028864,Gilbert,2Story,0.5761396358843341,-0.714671094918964
6,4920,8,5,2001,2001,1338,2,2,0,2.0,64,1790244,16008,0.0016260162601626016,StoneBr,1Story,1.0147139283252347,-0.5174135377115191
7,5005,8,5,1992,1992,1280,2,2,0,2.0,64,1638400,15936,0.0015984015984015984,StoneBr,1Story,0.6623863769647187,-0.5174135377115191
8,5389,8,5,1995,1996,1616,2,2,1,2.0,64,2611456,15960,0.0014845054741139357,StoneBr,1Story,0.7798288940848906,-0.5174135377115191
9,7500,7,5,1999,1999,1804,2,3,1,2.0,49,3254416,13993,0.0009333333333333333,Gilbert,2Story,0.6070716353643468,0.6726316187472591
10,10000,6,5,1993,1994,1655,2,3,1,2.0,36,2739025,11958,0.0006,Gilbert,2Story,0.42147963848427017,-0.714671094918964
11,7980,6,7,1992,2007,1187,2,3,0,2.0,36,1408969,11952,0.0007518796992481203,Gilbert,1Story,0.6623863769647187,-0.714671094918964
12,8402,6,5,1998,1998,1465,2,3,1,2.0,36,2146225,11988,0.0007141156867412521,Gilbert,2Story,0.5761396358843341,-0.714671094918964
13,10176,7,5,1990,1990,1341,1,2,1,2.0,49,1798281,13930,0.0006878930817610062,Gilbert,1Story,0.5840913655512707,0.6726316187472591
14,6820,8,5,1985,1985,1502,1,1,0,2.0,64,2256004,15880,0.0011730205278592375,StoneBr,1Story,0.3883538370176507,-0.5174135377115191
15,53504,8,5,2003,2003,3279,3,4,1,3.0,64,10751841,16024,0.00014952153110047846,StoneBr,2Story,0.730799633284398,-0.5174135377115191
16,12134,8,7,1988,2005,1752,2,4,0,2.0,64,3069504,15904,0.0006593044338223175,Gilbert,1.5Fin,2.5886012765423083,2.0599343324134822
17,11394,9,2,2010,2010,1856,1,1,1,3.0,81,3444736,18090,0.0007898894154818325,StoneBr,1Story,1.3670414796857506,0.8714333266720304
18,19138,4,5,1951,1951,864,1,2,0,2.0,16,746496,7804,0.00020900825582610512,Gilbert,1Story,-0.9426613570109651,-3.48927652225141
19,13175,6,6,1978,1988,2073,2,3,2,2.0,36,4297329,11868,0.00045540796963946866,NWAmes,1Story,0.11432129707058274,-0.4913404353828341
