,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
0,male,22.0,1,0,7.25,Third,unknown,Southampton,n
1,female,38.0,1,0,71.2833,First,C,Cherbourg,n
2,female,26.0,0,0,7.925,Third,unknown,Southampton,y
3,female,35.0,1,0,53.1,First,C,Southampton,n
4,male,28.0,0,0,8.4583,Third,unknown,Queenstown,y
5,male,2.0,3,1,21.075,Third,unknown,Southampton,n
6,female,27.0,0,2,11.1333,Third,unknown,Southampton,n
7,female,14.0,1,0,30.0708,Second,unknown,Cherbourg,n
8,female,4.0,1,1,16.7,Third,G,Southampton,n
9,male,20.0,0,0,8.05,Third,unknown,Southampton,y
10,male,39.0,1,5,31.275,Third,unknown,Southampton,n
11,female,14.0,0,0,7.8542,Third,unknown,Southampton,y
12,male,2.0,4,1,29.125,Third,unknown,Queenstown,n
13,male,28.0,0,0,13.0,Second,unknown,Southampton,y
14,female,31.0,1,0,18.0,Third,unknown,Southampton,n
15,female,28.0,0,0,7.225,Third,unknown,Cherbourg,y
16,male,35.0,0,0,26.0,Second,unknown,Southampton,y
17,male,28.0,0,0,35.5,First,A,Southampton,y
18,female,38.0,1,5,31.3875,Third,unknown,Southampton,n
19,male,28.0,0,0,7.225,Third,unknown,Cherbourg,y
20,male,19.0,3,2,263.0,First,C,Southampton,n
21,female,28.0,0,0,7.8792,Third,unknown,Queenstown,y
22,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
23,male,40.0,0,0,27.7208,First,unknown,Cherbourg,y
24,female,28.0,1,0,146.5208,First,B,Cherbourg,n
25,female,28.0,0,0,7.75,Third,unknown,Queenstown,y
26,male,66.0,0,0,10.5,Second,unknown,Southampton,y
27,male,28.0,1,0,82.1708,First,unknown,Cherbourg,n
28,male,42.0,1,0,52.0,First,unknown,Southampton,n
29,male,28.0,0,0,7.2292,Third,unknown,Cherbourg,y
30,female,14.0,1,0,11.2417,Third,unknown,Cherbourg,n
31,female,40.0,1,0,9.475,Third,unknown,Southampton,n
32,female,27.0,1,0,21.0,Second,unknown,Southampton,n
33,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
34,female,3.0,1,2,41.5792,Second,unknown,Cherbourg,n
35,male,28.0,0,0,8.05,Third,unknown,Southampton,y
36,male,28.0,1,0,15.5,Third,unknown,Queenstown,n
37,male,28.0,2,0,21.6792,Third,unknown,Cherbourg,n
38,female,18.0,1,0,17.8,Third,unknown,Southampton,n
39,male,7.0,4,1,39.6875,Third,unknown,Southampton,n
40,female,49.0,1,0,76.7292,First,D,Cherbourg,n
41,female,29.0,1,0,26.0,Second,unknown,Southampton,n
