,location,price_in,price_out,date
0,hcm,66200.0,67200.0,25-10-2022
1,hà nội,66200.0,67220.0,25-10-2022
2,đà nẵng,66200.0,67220.0,25-10-2022
3,nha trang,66200.0,67220.0,25-10-2022
4,cà mau,66200.0,67220.0,25-10-2022
5,bình phước,66180.0,67220.0,25-10-2022
6,huế,66170.0,67230.0,25-10-2022
7,biên hòa,66200.0,67200.0,25-10-2022
8,miền tây,66200.0,67200.0,25-10-2022
9,quãng ngãi,66200.0,67200.0,25-10-2022
10,long xuyên,66220.0,67250.0,25-10-2022
11,hcm,66300.0,67300.0,24-10-2022
12,hà nội,66300.0,67320.0,24-10-2022
13,đà nẵng,66300.0,67320.0,24-10-2022
14,nha trang,66300.0,67320.0,24-10-2022
15,cà mau,66300.0,67320.0,24-10-2022
16,bình phước,66280.0,67320.0,24-10-2022
17,huế,66270.0,67330.0,24-10-2022
18,biên hòa,66300.0,67300.0,24-10-2022
19,miền tây,66300.0,67300.0,24-10-2022
20,quãng ngãi,66300.0,67300.0,24-10-2022
21,long xuyên,66320.0,67350.0,24-10-2022
22,hcm,66500.0,67500.0,23-10-2022
23,hà nội,66500.0,67520.0,23-10-2022
24,đà nẵng,66500.0,67520.0,23-10-2022
25,nha trang,66500.0,67520.0,23-10-2022
26,cà mau,66500.0,67520.0,23-10-2022
27,bình phước,66480.0,67520.0,23-10-2022
28,huế,66470.0,67530.0,23-10-2022
29,biên hòa,66500.0,67500.0,23-10-2022
30,miền tây,66500.0,67500.0,23-10-2022
31,quãng ngãi,66500.0,67500.0,23-10-2022
32,long xuyên,66520.0,67550.0,23-10-2022
33,hcm,66500.0,67500.0,22-10-2022
34,hà nội,66500.0,67520.0,22-10-2022
35,đà nẵng,66500.0,67520.0,22-10-2022
36,nha trang,66500.0,67520.0,22-10-2022
37,cà mau,66500.0,67520.0,22-10-2022
38,bình phước,66480.0,67520.0,22-10-2022
39,huế,66470.0,67530.0,22-10-2022
40,biên hòa,66500.0,67500.0,22-10-2022
41,miền tây,66500.0,67500.0,22-10-2022
42,quãng ngãi,66500.0,67500.0,22-10-2022
43,long xuyên,66520.0,67550.0,22-10-2022
44,hcm,66300.0,67300.0,21-10-2022
45,hà nội,66300.0,67320.0,21-10-2022
46,đà nẵng,66300.0,67320.0,21-10-2022
47,nha trang,66300.0,67320.0,21-10-2022
48,cà mau,66300.0,67320.0,21-10-2022
49,bình phước,66280.0,67320.0,21-10-2022
50,huế,66270.0,67330.0,21-10-2022
51,biên hòa,66300.0,67300.0,21-10-2022
52,miền tây,66300.0,67300.0,21-10-2022
53,quãng ngãi,66300.0,67300.0,21-10-2022
54,long xuyên,66320.0,67350.0,21-10-2022
55,hcm,66200.0,67200.0,20-10-2022
56,hà nội,66200.0,67220.0,20-10-2022
57,đà nẵng,66200.0,67220.0,20-10-2022
58,nha trang,66200.0,67220.0,20-10-2022
59,cà mau,66200.0,67220.0,20-10-2022
60,bình phước,66180.0,67220.0,20-10-2022
61,huế,66170.0,67230.0,20-10-2022
62,biên hòa,66200.0,67200.0,20-10-2022
63,miền tây,66200.0,67200.0,20-10-2022
64,quãng ngãi,66200.0,67200.0,20-10-2022
65,long xuyên,66220.0,67250.0,20-10-2022
66,hcm,66000.0,67000.0,19-10-2022
67,hà nội,66000.0,67020.0,19-10-2022
68,đà nẵng,66000.0,67020.0,19-10-2022
69,nha trang,66000.0,67020.0,19-10-2022
70,cà mau,66000.0,67020.0,19-10-2022
71,bình phước,65980.0,67020.0,19-10-2022
72,huế,65970.0,67030.0,19-10-2022
73,biên hòa,66000.0,67000.0,19-10-2022
74,miền tây,66000.0,67000.0,19-10-2022
75,quãng ngãi,66000.0,67000.0,19-10-2022
76,long xuyên,66020.0,67050.0,19-10-2022
77,hcm,66100.0,67100.0,18-10-2022
78,hà nội,66100.0,67120.0,18-10-2022
79,đà nẵng,66100.0,67120.0,18-10-2022
80,nha trang,66100.0,67120.0,18-10-2022
81,cà mau,66100.0,67120.0,18-10-2022
82,bình phước,66080.0,67120.0,18-10-2022
83,huế,66070.0,67130.0,18-10-2022
84,biên hòa,66100.0,67100.0,18-10-2022
85,miền tây,66100.0,67100.0,18-10-2022
86,quãng ngãi,66100.0,67100.0,18-10-2022
87,long xuyên,66120.0,67150.0,18-10-2022
88,hcm,66000.0,67000.0,17-10-2022
89,hà nội,66000.0,67020.0,17-10-2022
90,đà nẵng,66000.0,67020.0,17-10-2022
91,nha trang,66000.0,67020.0,17-10-2022
92,cà mau,66000.0,67020.0,17-10-2022
93,bình phước,65980.0,67020.0,17-10-2022
94,huế,65970.0,67030.0,17-10-2022
95,biên hòa,66000.0,67000.0,17-10-2022
96,miền tây,66000.0,67000.0,17-10-2022
97,quãng ngãi,66000.0,67000.0,17-10-2022
98,long xuyên,66020.0,67050.0,17-10-2022
99,hcm,65900.0,66900.0,16-10-2022
100,hà nội,65900.0,66920.0,16-10-2022
101,đà nẵng,65900.0,66920.0,16-10-2022
102,nha trang,65900.0,66920.0,16-10-2022
103,cà mau,65900.0,66920.0,16-10-2022
104,bình phước,65880.0,66920.0,16-10-2022
105,huế,65870.0,66930.0,16-10-2022
106,biên hòa,65900.0,66900.0,16-10-2022
107,miền tây,65900.0,66900.0,16-10-2022
108,quãng ngãi,65900.0,66900.0,16-10-2022
109,long xuyên,65920.0,66950.0,16-10-2022
